hex_code,occurence,R,G,B,percent,Movement
#C5BB80,10499,197,187,128,4.62,Magic-Realism
#A07737,1750,160,119,55,0.77,Magic-Realism
#9B8E7B,19,155,142,123,0.01,Magic-Realism
#2C332C,200480,44,51,44,76.27,Magic-Realism
#72685E,44330,114,104,94,16.86,Magic-Realism
#547892,9651,84,120,146,3.67,Magic-Realism
#BDAD8C,8397,189,173,140,3.19,Magic-Realism
#010000,505548,1,0,0,39.01,Magic-Realism
#2166AB,237339,33,102,171,18.31,Magic-Realism
#64B9EF,176869,100,185,239,13.65,Magic-Realism
#202743,156490,32,39,67,12.08,Magic-Realism
#FEFFF9,96062,254,255,249,7.41,Magic-Realism
#26433F,52691,38,67,63,4.07,Magic-Realism
#9DDCEB,28062,157,220,235,2.17,Magic-Realism
#3E8AA1,23329,62,138,161,1.8,Magic-Realism
#5F9653,19522,95,150,83,1.51,Magic-Realism
#676769,684915,103,103,105,62.73,Magic-Realism
#EBE3D8,372908,235,227,216,34.15,Magic-Realism
#957E5E,19612,149,126,94,1.8,Magic-Realism
#141311,13492,20,19,17,1.24,Magic-Realism
#6A4332,528,106,67,50,0.05,Magic-Realism
#A9A4A8,447,169,164,168,0.04,Magic-Realism
#000002,271201,0,0,2,36.45,Magic-Realism
#4F9BD7,130046,79,155,215,17.48,Magic-Realism
#693132,111151,105,49,50,14.94,Magic-Realism
#FEFFDF,84040,254,255,223,11.3,Magic-Realism
#FE3849,83275,254,56,73,11.19,Magic-Realism
#A83A3D,28272,168,58,61,3.8,Magic-Realism
#A3CAEB,23765,163,202,235,3.19,Magic-Realism
#2B3A3D,9399,43,58,61,1.26,Magic-Realism
#988AA1,2792,152,138,161,0.38,Magic-Realism
#7FA29B,223765,127,162,155,65.5,Magic-Realism
#226776,71307,34,103,118,20.87,Magic-Realism
#000100,31241,0,1,0,9.14,Magic-Realism
#13392C,8525,19,57,44,2.5,Magic-Realism
#636653,2687,99,102,83,0.79,Magic-Realism
#D2D7D1,2113,210,215,209,0.62,Magic-Realism
#A89B78,1241,168,155,120,0.36,Magic-Realism
#2B374D,426,43,55,77,0.12,Magic-Realism
#794B4B,331,121,75,75,0.1,Magic-Realism
#B3AA41,803112,179,170,65,75.78,Magic-Realism
#214A5C,138354,33,74,92,13.06,Magic-Realism
#0C0C0C,80458,12,12,12,7.59,Magic-Realism
#373303,17096,55,51,3,1.61,Magic-Realism
#D0CB8B,13013,208,203,139,1.23,Magic-Realism
#726D11,4687,114,109,17,0.44,Magic-Realism
#93885B,2203,147,136,91,0.21,Magic-Realism
#FFFF90,524,255,255,144,0.05,Magic-Realism
