hex_code,occurence,R,G,B,percent,Movement
#1A1613,795950,26,22,19,45.3,Neoclassicism
#535E60,97614,83,94,96,5.56,Neoclassicism
#F1ECE8,615427,241,236,232,76.09,Neoclassicism
#DFB173,99413,223,177,115,12.29,Neoclassicism
#775B36,52551,119,91,54,6.5,Neoclassicism
#00000C,41378,0,0,12,5.12,Neoclassicism
#2D2E1E,264669,45,46,30,85.04,Neoclassicism
#848B84,36374,132,139,132,11.69,Neoclassicism
#713614,6463,113,54,20,2.08,Neoclassicism
#988342,3717,152,131,66,1.19,Neoclassicism
#C2854E,1118240,194,133,78,73.6,Neoclassicism
#0E0A09,202332,14,10,9,13.32,Neoclassicism
#644226,130018,100,66,38,8.56,Neoclassicism
#ECD9C8,68764,236,217,200,4.53,Neoclassicism
#171717,335203,23,23,23,50.58,Neoclassicism
#BEA17F,288916,190,161,127,43.6,Neoclassicism
#60543C,37953,96,84,60,5.73,Neoclassicism
#5B1C0D,601,91,28,13,0.09,Neoclassicism
#16160E,364811,22,22,14,72.05,Neoclassicism
#604D2D,64173,96,77,45,12.67,Neoclassicism
#FEEFCE,52196,254,239,206,10.31,Neoclassicism
#A23923,25117,162,57,35,4.96,Neoclassicism
#060515,701421,6,5,21,59.94,Neoclassicism
#A6B2CA,189723,166,178,202,16.21,Neoclassicism
#4E1420,182508,78,20,32,15.6,Neoclassicism
#8F8167,96512,143,129,103,8.25,Neoclassicism
#0D0F0E,531402,13,15,14,59.68,Neoclassicism
#F5F5F5,193275,245,245,245,21.7,Neoclassicism
#6C211B,114603,108,33,27,12.87,Neoclassicism
#C99B46,51197,201,155,70,5.75,Neoclassicism
#050706,904513,5,7,6,70.45,Neoclassicism
#C3854A,224867,195,133,74,17.51,Neoclassicism
#76654B,122319,118,101,75,9.53,Neoclassicism
#D4C59C,32268,212,197,156,2.51,Neoclassicism
#21230E,1346506,33,35,14,66.64,Neoclassicism
#8D9298,420121,141,146,152,20.79,Neoclassicism
#FFFFFD,215200,255,255,253,10.65,Neoclassicism
#4F3D55,38889,79,61,85,1.92,Neoclassicism
#262024,96696,38,32,36,36.73,Neoclassicism
#AE3C44,88336,174,60,68,33.56,Neoclassicism
#889987,73216,136,153,135,27.81,Neoclassicism
#B57B53,5002,181,123,83,1.9,Neoclassicism
#010000,288056,1,0,0,48.25,Neoclassicism
#3E3816,132092,62,56,22,22.13,Neoclassicism
#FFEAB1,97848,255,234,177,16.39,Neoclassicism
#A4874F,78967,164,135,79,13.23,Neoclassicism
#D5DBF5,342421,213,219,245,31.08,Neoclassicism
#00000C,320271,0,0,12,29.07,Neoclassicism
#45402C,250763,69,64,44,22.76,Neoclassicism
#98762F,188109,152,118,47,17.08,Neoclassicism
#201C19,182104,32,28,25,66.99,Neoclassicism
#745C44,65055,116,92,68,23.93,Neoclassicism
#FFFFE3,18726,255,255,227,6.89,Neoclassicism
#D4A88F,5963,212,168,143,2.19,Neoclassicism
#0B0B0D,616895,11,11,13,60.58,Neoclassicism
#7C5D31,337383,124,93,49,33.13,Neoclassicism
#CBB681,64005,203,182,129,6.29,Neoclassicism
#3B3B3B,189247,59,59,59,100.0,Neoclassicism
#1F2324,1833734,31,35,36,60.79,Neoclassicism
#787C7B,436985,120,124,123,14.49,Neoclassicism
#EAE8DC,426800,234,232,220,14.15,Neoclassicism
#7F5620,318786,127,86,32,10.57,Neoclassicism
#10101A,646812,16,16,26,77.28,Neoclassicism
#A1936C,98881,161,147,108,11.81,Neoclassicism
#FFF8E8,80456,255,248,232,9.61,Neoclassicism
#504531,10833,80,69,49,1.29,Neoclassicism
#E7E6EE,155898,231,230,238,51.82,Neoclassicism
#C08A64,114939,192,138,100,38.21,Neoclassicism
#211916,29995,33,25,22,9.97,Neoclassicism
#D3BF7A,1234996,211,191,122,47.6,Neoclassicism
#3E6D97,683707,62,109,151,26.35,Neoclassicism
#1C1B19,518036,28,27,25,19.97,Neoclassicism
#766D46,157845,118,109,70,6.08,Neoclassicism
#000000,5472149,0,0,0,35.4,Neoclassicism
#D1D9DC,4707615,209,217,220,30.46,Neoclassicism
#4B4F5B,3877958,75,79,91,25.09,Neoclassicism
#552A17,1399796,85,42,23,9.06,Neoclassicism
#141414,329426,20,20,20,38.62,Neoclassicism
#A76C1C,301655,167,108,28,35.37,Neoclassicism
#F8F8F8,187210,248,248,248,21.95,Neoclassicism
#521415,34654,82,20,21,4.06,Neoclassicism
#2A151A,371448,42,21,26,83.88,Neoclassicism
#D7A371,58158,215,163,113,13.13,Neoclassicism
#877871,8427,135,120,113,1.9,Neoclassicism
#D4D1C2,4782,212,209,194,1.08,Neoclassicism
#C4C4C4,219095,196,196,196,65.9,Neoclassicism
#1D1D1D,113364,29,29,29,34.1,Neoclassicism
#1E210C,573748,30,33,12,43.24,Neoclassicism
#89200D,434309,137,32,13,32.73,Neoclassicism
#C3AA67,302406,195,170,103,22.79,Neoclassicism
#6C5825,16354,108,88,37,1.23,Neoclassicism
#261F15,413979,38,31,21,49.03,Neoclassicism
#8F8876,356809,143,136,118,42.26,Neoclassicism
#FDE0C0,38905,253,224,192,4.61,Neoclassicism
#855C26,34566,133,92,38,4.09,Neoclassicism
#798D8B,1459169,121,141,139,50.12,Neoclassicism
#0B0B0B,1103093,11,11,11,37.89,Neoclassicism
#D8D2AE,206901,216,210,174,7.11,Neoclassicism
#53452B,142065,83,69,43,4.88,Neoclassicism
#E7DFDD,2142442,231,223,221,50.22,Neoclassicism
#DA724D,988223,218,114,77,23.16,Neoclassicism
#716B55,797839,113,107,85,18.7,Neoclassicism
#120000,337826,18,0,0,7.92,Neoclassicism
#000000,156727,0,0,0,52.51,Neoclassicism
#C4D8CF,80404,196,216,207,26.94,Neoclassicism
#4A564A,60684,74,86,74,20.33,Neoclassicism
#A49367,636,164,147,103,0.21,Neoclassicism
#9AA3AC,55272,154,163,172,70.51,Neoclassicism
#22252C,23120,34,37,44,29.49,Neoclassicism
#E3DBC8,1790101,227,219,200,42.56,Neoclassicism
#73203A,1447386,115,32,58,34.41,Neoclassicism
#8F7F65,595661,143,127,101,14.16,Neoclassicism
#2A1814,373120,42,24,20,8.87,Neoclassicism
#35393C,351549,53,57,60,74.59,Neoclassicism
#EBECE7,69370,235,236,231,14.72,Neoclassicism
#86765D,48012,134,118,93,10.19,Neoclassicism
#2AFB0C,2358,42,251,12,0.5,Neoclassicism
#0B120B,722663,11,18,11,47.84,Neoclassicism
#66543E,490991,102,84,62,32.5,Neoclassicism
#F1ECD9,205777,241,236,217,13.62,Neoclassicism
#778797,91254,119,135,151,6.04,Neoclassicism
#213035,314043,33,48,53,80.82,Neoclassicism
#826136,60671,130,97,54,15.61,Neoclassicism
#F1DDC5,13843,241,221,197,3.56,Neoclassicism
#240000,218129,36,0,0,47.87,Neoclassicism
#693C25,155806,105,60,37,34.2,Neoclassicism
#EAD7C8,54331,234,215,200,11.92,Neoclassicism
#BE8C57,27360,190,140,87,6.0,Neoclassicism
#2E1616,365588,46,22,22,44.69,Neoclassicism
#A7A5B3,323404,167,165,179,39.53,Neoclassicism
#937658,125815,147,118,88,15.38,Neoclassicism
#D09949,3290,208,153,73,0.4,Neoclassicism
#2B1F2B,326673,43,31,43,54.18,Neoclassicism
#C63640,134178,198,54,64,22.25,Neoclassicism
#946055,114015,148,96,85,18.91,Neoclassicism
#F2C189,28116,242,193,137,4.66,Neoclassicism
#878789,354768,135,135,137,58.74,Neoclassicism
#FFFFFF,142562,255,255,255,23.6,Neoclassicism
#353334,104111,53,51,52,17.24,Neoclassicism
#805739,2557,128,87,57,0.42,Neoclassicism
#191013,472474,25,16,19,61.86,Neoclassicism
#8B4A24,222905,139,74,36,29.18,Neoclassicism
#F7E8BF,60773,247,232,191,7.96,Neoclassicism
#98836E,7674,152,131,110,1.0,Neoclassicism
#000100,2864250,0,1,0,47.84,Neoclassicism
