hex_code,occurence,R,G,B,percent,Movement
#C05334,7600,192,83,52,0.72,Early-Renaissance
#DCF4F6,49,220,244,246,0.0,Early-Renaissance
#5D4662,37,93,70,98,0.0,Early-Renaissance
#1B120B,289427,27,18,11,44.46,Early-Renaissance
#5D3114,94348,93,49,20,14.49,Early-Renaissance
#CE491C,93292,206,73,28,14.33,Early-Renaissance
#908663,93029,144,134,99,14.29,Early-Renaissance
#B47317,67726,180,115,23,10.4,Early-Renaissance
#EDDFA2,12748,237,223,162,1.96,Early-Renaissance
#E0AFB2,370,224,175,178,0.06,Early-Renaissance
#2E302F,638260,46,48,47,71.36,Early-Renaissance
#94908F,244509,148,144,143,27.34,Early-Renaissance
#A66A50,7701,166,106,80,0.86,Early-Renaissance
#FBFFFF,3928,251,255,255,0.44,Early-Renaissance
#FEFEFE,479807,254,254,254,81.36,Early-Renaissance
#939D84,107245,147,157,132,18.19,Early-Renaissance
#444847,1960,68,72,71,0.33,Early-Renaissance
#9E664D,494,158,102,77,0.08,Early-Renaissance
#EAD594,199,234,213,148,0.03,Early-Renaissance
#DBDDDC,394481,219,221,220,45.33,Early-Renaissance
#AE4F2F,195348,174,79,47,22.45,Early-Renaissance
#738354,179238,115,131,84,20.6,Early-Renaissance
#202C1E,51156,32,44,30,5.88,Early-Renaissance
#F6B29B,43406,246,178,155,4.99,Early-Renaissance
#F5A050,4517,245,160,80,0.52,Early-Renaissance
#3C6C76,1881,60,108,118,0.22,Early-Renaissance
#E6D387,180,230,211,135,0.02,Early-Renaissance
#2C2F28,1587875,44,47,40,51.92,Early-Renaissance
#EBE4DC,780095,235,228,220,25.51,Early-Renaissance
#86816E,571950,134,129,110,18.7,Early-Renaissance
#763E31,71580,118,62,49,2.34,Early-Renaissance
#413A63,39417,65,58,99,1.29,Early-Renaissance
#DBB47D,3937,219,180,125,0.13,Early-Renaissance
#978DB2,2162,151,141,178,0.07,Early-Renaissance
#BF3F3C,1433,191,63,60,0.05,Early-Renaissance
#D88C8C,17,216,140,140,0.0,Early-Renaissance
#673F37,475149,103,63,55,48.51,Early-Renaissance
#FAF0E6,300965,250,240,230,30.72,Early-Renaissance
#C0754D,179934,192,117,77,18.37,Early-Renaissance
#9C9080,10294,156,144,128,1.05,Early-Renaissance
#425671,9329,66,86,113,0.95,Early-Renaissance
#FFCC86,3864,255,204,134,0.39,Early-Renaissance
#09131D,14,9,19,29,0.0,Early-Renaissance
#E3D1AD,476984,227,209,173,51.97,Early-Renaissance
#944735,251593,148,71,53,27.41,Early-Renaissance
#473231,92324,71,50,49,10.06,Early-Renaissance
#9DB7DA,83035,157,183,218,9.05,Early-Renaissance
#70765A,13789,112,118,90,1.5,Early-Renaissance
#000000,726750,0,0,0,60.08,Early-Renaissance
#9A9369,405893,154,147,105,33.56,Early-Renaissance
#4D3C22,74963,77,60,34,6.2,Early-Renaissance
#2E4A58,1800,46,74,88,0.15,Early-Renaissance
#EFD888,104,239,216,136,0.01,Early-Renaissance
#7B2518,84,123,37,24,0.01,Early-Renaissance
#9A98AE,3,154,152,174,0.0,Early-Renaissance
#CDBFA4,4007155,205,191,164,68.91,Early-Renaissance
#6B4337,1803315,107,67,55,31.01,Early-Renaissance
#191313,2681,25,19,19,0.05,Early-Renaissance
#BA5A42,1363,186,90,66,0.02,Early-Renaissance
#768089,433,118,128,137,0.01,Early-Renaissance
#7785A2,173403,119,133,162,32.61,Early-Renaissance
#F6F7F2,130875,246,247,242,24.62,Early-Renaissance
#CDAA8A,122911,205,170,138,23.12,Early-Renaissance
#2B2122,104479,43,33,34,19.65,Early-Renaissance
#17170F,389209,23,23,15,46.09,Early-Renaissance
#3F4F66,157214,63,79,102,18.62,Early-Renaissance
#ABACA4,139604,171,172,164,16.53,Early-Renaissance
#6F423C,92369,111,66,60,10.94,Early-Renaissance
#DAA65A,64140,218,166,90,7.59,Early-Renaissance
#CA5C4F,1373,202,92,79,0.16,Early-Renaissance
#7B7440,625,123,116,64,0.07,Early-Renaissance
#3C3926,436424,60,57,38,49.52,Early-Renaissance
#B27A2D,294297,178,122,45,33.4,Early-Renaissance
#EC613A,92987,236,97,58,10.55,Early-Renaissance
#FFDC84,42013,255,220,132,4.77,Early-Renaissance
#84331E,7722,132,51,30,0.88,Early-Renaissance
#61752E,6350,97,117,46,0.72,Early-Renaissance
